id,character_name,main_storyseries,author,genre,type_of_rep,gender,importance,sexual_orientation,romantic_orientation,relationships,pairing_qpp_or_romantic,rep_noteswarnings,cover
84,Fif,Liberating Earth,E. H. Timms,Fantasy,Word of God,F,Lead,Asexual,Aromantic,"Friend, QPP",F/F,QPP partner dies,
85,Dr. Martin Collier,Loyal Valley,Elisabeth G. Wolfe,Steampunk,On Page,M,Main,Asexual,Aromantic,"Friendship, Team",,Disabled character,
86,Capt. Michel Duvray,Loyal Valley,Elisabeth G. Wolfe,Steampunk,On Page,M,Main,Asexual,Aromantic,"Friendship, Team",,Character of colour,
87,Nimrod,The Order of the Silver Star,Elisabeth G. Wolfe,Fantasy,On Page,M,Main,Asexual,Aromantic,Colleagues,,Orientation discussed in epilogue,
88,Paksenarrion,The Deed of Paksenarrion,Elizabeth Moon,Epic/High Fantasy,On Page,F,Lead,Asexual,Aromantic,Friendship,,"Novel predates emergene of asexual and aromantic as terms. Marked it as on page because the character clearly expresses no interest in either sex or romance, but I'm not sure *where* in the trilogy",
89,Gwen Vere,The Manifold Worlds,Foz Meadows,Portal Fantasy,Word Used,F,Main,Queer,Aromantic,"Family, Friendship, Mentorship, Found family",,"Has husband, wife, and son, several friendships of importance, an alliance of sorts with a group of mostly women + mentors a younger woman",
90,Vyx,Ink Born,Holly Evans,Urban Fantasy,On Page,F,Main,Asexual,Aromantic,"Friendship, Found Family",,"Repetitively uses ""spirit animal"", concept is even a plot point, no Native rep.",
91,Alya Kadir,The Sword Breaker,Joel Cornah,Epic/High Fantasy,On Page,F,Main,Asexual,Aromantic,,,,
92,Isis,The Shape Shifters Chronicles,Lauren Jankowski,Urban Fantasy,On Page,F,Lead,Gray-asexual,Grey-romantic,,,,
93,Blitz,The Shape Shifter Chronicles,Lauren Jankowski,Urban Fantasy,On Page,F,Lead,Asexual,Aroflux,Found family,,Violent warrior character at first,
94,Shocker,The Shape Shifters Chronicles,Lauren Jankowski,Urban Fantasy,On Page,M,Side,Asexual,Aromantic,,,,
95,The Necromancer,Myriad Lands 2 Anthology (Backgame),Lev Mirov,Fantasy,Word of God,F,Main,Asexual,Aromantic,Friendship,,,
96,Wander,Wander,Lewis Bright Rees,Science Fiction,Word of God,F,Lead,Asexual,Aromantic,,,,
97,Arèn,A Promise Broken,Lynn E. O'Connacht,Fantasy,On Page,M,Main,Asexual,Aromantic,,,,
98,Maris,Seafoam and Silence,Lynn E. O'Connacht,"Fantasy (Retelling), Young Adult",On Page,F,Lead,Asexual,Demiromantic,,M/F/F,Main character is not human at first (see notes),
99,Bernhard,Seafoam and Silence,Lynn E. O'Connacht,"Fantasy (Retelling), Young Adult",On Page,M,Main,Asexual,Aromantic,,M/F/F,Highly sex-repulsed,
100,Scylla,The Iamos Trilogy,Lyssa Chiavari,"Science Fiction, Young Adult",Word Used,F,Side,Asexual,Aromantic,,,Orientation stated in side novella.,
101,Miranda,Gale,Lyssa Chiavari,Science Fiction (Retelling),Word of God,F,Lead,Asexual,Aromantic,QPP,F/F,,
102,Fang,No More Heroes,Michelle Kan,"Fantasy, Science Fiction, Superheroes, New Adult",Word of God,Enby,Main,Asexual,Grey-romantic,"Friendship, Team",,"Genderfluid, character of colour",
103,Mark Ashton,Allison Dutch,Michón Neal,Cuil,On Page,M,Main,Demisexual,WTFRomantic,,M/M/M/NB,Mark is an intersex male who may or may not experience romantic attraction (though he most certainly has a romantic pull) with sexual attraction to Queen Aeryn. He's stated explicitly that he doesn't really care about sex but enjoys the sensuality that usually leads up to it.,
104,Princess Ariel Shoud,The Black Tree,Michón Neal,Cuil,Word of God,Enby,Main,Pansexual,Aromantic,"Found family, friendship",,"Polyam varies in gender and combinations. Usually focuses intensely on one person at a time, in varying ways wrt commitment/sexuality. Has had marriage with men and other QPRs",
105,Marie Delan,Allison Dutch,Michón Neal,Cuil,On Page,F,Main,Pansexual,Aromantic,Partners,F/NB and M/F,Occasionally in polyam relationships,
106,Match Girl,Unburied Fables,Minerva Cerridwen,"Fantasy, Science Fiction",On Page,F,Main,Asexual,Aromantic,,,,
107,Dea,The Faerie Godmother's Apprentice Wore Green,Nicky Kyle,"Fantasy, Young Adult",On Page,F,Main,Asexual,Aromantic,QPP,F/F,,
108,Tanith,Tanith's Sky,Penny Stirling,Fantasy,On Page,F,Main,Asexual,Aromantic,,F/NB,Story begins with Tanith's death,
109,,"Kin, Painted",Penny Stirling,Fantasy,Word of God,Enby,Lead,Asexual,Aromantic,Family,,,
110,Tyler,Rainbow Lights,Polenth Blake,Urban Fantasy,On Page,M,Lead,Asexual,Aromantic,,,,
111,Ennaline Whitehall,Cold Ennaline,R. J. Astruc,,On Page,F,Lead,Asexual,Aromantic,,,,
112,Mab,The Planetary Tarantella Trilogy,Rachel Sharp,Post-Apocalyptic,Word of God,F,Lead,Bisexual,Aromantic,,,,
113,Janie,The Planetary Tarantella Trilogy,Rachel Sharp,"Post-Apocalyptic, New Adult",Word Used,F,Main,Asexual,Aromantic,Friendship,,,
114,Mae/Artemis,Chronomancer Chronicles,Reilyn J. Hardy,Fantasy,Word Used,M,Lead,Asexual,Aromantic,,,"Sex-repulsed, somewhat romance-repulsed",
115,Elessana,The Representative,Ripley Santo,Cuil,On Page,Enby,Lead,Demisexual,Arospec,,M/M/NB,Romantic orientation: possibly wtfromantic or demiromantic. Elessana is mourning the death of her asexual lover throughout this series.,
116,Gregory Samson,The Representative,Ripley Santo,Cuil,Word Used,M,Lead,Bisexual,Aromantic,,M/M/F/NB,,
117,Wren,Chameleon Moon,RoAnna Sylver,"Fantasy, Science Fiction, Superhero",Word of God,Enby,Side,Asexual,Aromantic,"Friendship, QPP, Found family",F/NB,Wren and Lisette are teenage aro/ace QPPs whose superpowers work best if they're close/touching.,
118,Lisette,Chameleon Moon,RoAnna Sylver,"Fantasy, Science Fiction, Superhero",Word of God,F,Side,Asexual,Aromantic,"Friendship, QPP, Found family",F/NB,Wren and Lisette are teenage aro/ace QPPs whose superpowers work best if they're close/touching.,
119,"Anh ""Annie"" Minh Le",Chameleon Moon,RoAnna Sylver,"Fantasy, Science Fiction, Superhero",Word Used,F,Lead,Asexual,Aromantic,"Friendship, QPP, Family",M/F/NB,,
120,Jenny Strings,Chameleon Moon,RoAnna Sylver,"Fantasy, Science Fiction, Superhero",Word of God,F,Main,Gray-asexual,Demiromantic,,,,
121,Stella,Mangoverse,Shira Glassman,Fantasy,On Page,F,Main,Asexual,Aromantic,Family,,Contains threats of sexual assault (for being pretty),
122,Eshvat,Mangoverse,Shira Glassman,Fantasy,On Page,F,Side,Heterosexual,Aromantic,,,,
123,Gershom,Mangoverse,Shira Glassman,Fantasy,On Page,M,Side,Asexual,Aromantic,Friendship,,,
124,Sey,Vitality Final Issue,Tabitha O'Connell,Fantasy,Word of God,F,Lead,Asexual,Aromantic,Family,,Meaningul relationship with the mother,
125,Chandra,The Fire's Stone,Tanya Huff,Epic/High Fantasy,On Page,F,Main,Asexual,,QPP,M/M/F,"Heroine mostly doesn't want to marry. Tanya Huff later confirmed she would have used the word had she known, but it's not in the book so read with care",
126,Charlie,Bone Diggers,Tiffany Rose,Science Fiction,Word Used,Enby,Side,Asexual,Aromantic,,,,
127,Alaric Herne,Commit to the Kick,Tris Lawrence,Urban Fantasy,On Page,M,Lead,Gay,Demiromantic,"Friendship, Found Family, Team",M/M,"Note on the QPP: it is not defined that way, but the pairing seemed important, so I put it as 'yes'. Alaric has issues with a very traditional family. While his sexuality has not been brought up as a problem explicitly, it is implied that it might be (the issues mostly revolve around his magical Talent).",
128,Anette,The Loveless Princess,Lilian Bodley,"Fantasy, Young Adult",On Page,F,Lead,Asexual,Aromantic,"Friensdship, QPP",M/M/F/F,"Aromisia, acemisia, on-screen sexual assault, conflates sex and romance repulsion with aromanticism",
129,Aled,Radio Silence,Alice Oseman,"Contemporary, Young Adult",Word Used,M,Side,Demisexual,,Friendship,M/M,"Depression, suicide ideation, eating disorder.",
130,Mastekh,Dragonlands,Becca Lusher,Fantasy,On Page,M,Lead,Demisexual,Homoromantic,"Friendship, mentorship",M/M,,
131,Jack,Spindle City Mysteries,Carlie St. George,Fantasy,On Page,F,Lead,Asexual,,,,,
132,Celeste Moravia Agathe Alain/Grace,The Trouble With Grace,Jenn LeBlanc,"Historical, Romance",On Page,F,Lead,Gray-asexual,,,,This book is *built* on acemisia. Marrying the MC is seen as punishment. She calls herself abnormal. She is the prop coming between two gay cousins' happy love life.,
133,Sulien,Tir Tanagiri,Jo Walton,Fantasy,On Page,F,Lead,Asexual,,,,Sexual assault,
134,Kevin,Guardian of the Dead,Karen Healey,Urban Fantasy,Word of God,M,Side,Asexual,,,,,
135,Allie,Night Calls,Katharine Eliska Kimbriel,Fantasy,Word of God,F,Lead,Demisexual,,,,,
136,Mars,Beyond Binary,Kelley Eskridge,Fantasy,On Page,,Lead,Asexual,,,,,
137,Allan,The Loveless Princess,Lilian Bodley,Fantasy,On Page,M,Side,Asexual,Aromantic,,,"He's the antagonist. Aromisia, acemisia, on-screen sexual assault, conflates sex and romance repulsion with aromanticism",
138,Vasih'th,"The Dreamhealers, Princes' Game",M.C.A. Hogarth,Science Fiction,On Page,M,Lead,Asexual,Aromantic,QPP,M/M,"Vasih'th's aromanticism is strongly implied but not confirmed. Jahir, his partner, will read as asexual and aromantic for most of the series, but turns out to be Actually Only Repressed.",
139,Always Falling,Twin Kingdoms,M.C.A. Hogarth,"Fantasy, Romance",On Page,Enby,Main,Asexual,,"QPP, Family",M/NB,Uses 'it' as one of its nonbinary pronouns,
140,Kis’eh’t,Her Instruments,M.C.A. Hogarth,Science Fiction,On Page,F,Main,Asexual,Aromantic,,,,
141,Ava,The Goose Girl,Robin Gallica,Fantasy,Word of God,F,Lead,Demisexual,,,M/F,,
142,Carla,Beyond Binary,Sarah Kanning,Science Fiction,On Page,F,Lead,Asexual,,,,,
143,Darcy,Afterworlds,Scott Westerfeld,"Contemporary, Young Adult",Word of God,F,Lead,Demisexual,,"Family, Friendship",F/F,,
144,Mia,Stranger,"Sherwood Smith, Rachel Manija Brown",Post-Apocalyptic,On Page,F,Main,Demisexual,,,,,
145,Liang,Texture Like Sun,Ils Greyhard,Urban Fantasy,On Page,M,Lead,Asexual,Homoromantic,,M/M,,
146,Tam,Dust on the Wing,Parker Foye,Science Fiction,On Page,M,Lead,Asexual,,,M/M,Allosexual partner pressures character into sex.,
147,Layla,Lunaside,J. L. Douglas,"Contemporary, Romance, Young Adult",Word Used,F,Side,Asexual,,,,,
148,Braeden,The Nightside Saga,Tristina Wright,"Science Fiction, Young Adult",Word Used,M,Main,Asexual,Alloromantic,,,No exploration or mention of romantic orientation. (Placed as alloromantic from Word of God),
149,Toni Beaugrand,Ultraviolet,R. J. Anderson,Science Fiction,On Page,F,Lead,Asexual,,Friendship,,"Character is an alien. Reads as aromantic until the end, where she suddenly gets in a romantic relationship.",
150,Medic,Imperial Radch (Ancillary World),Ann Leckie,Science Fiction,Word of God,F,,Asexual,,,,,
151,Luca,Daughter of the Burning City,Amanda Foody,"Fantasy, Young Adult",Word of God,M,Side,Asexual,Demiromantic,,,"Novel contains *some* support for this rep, see Jessie's review for details. Character is not fully human (an illusion), though he is sentient and with agency.",
152,Digger,Part & Parcel,Abigail Roux,"Contemporary, Romance",Word Used,M,Side,Asexual,,,M/M,,
153,Kelly Abbott,Sidewinder,Abigail Roux,"Contemporary, Romance",Word Used,M,Lead,Demisexual,,,M/M,,
154,Michelin,All Note Long,Annabeth Albert,"Contemporary, Romance",Word Used,M,Main,Demisexual,,,M/M,The demi MC is introduced to the term through an allosexual friend.,
155,Laurent,Empty Net,Avon Gale,"Contemporary, Romance, Sports",Word of God,M,Main,Demisexual,,,M/M,,
156,Tony,Sex in Seattle,Eli Easton,"Mystery, Romance",On Page,M,Lead,Demisexual,,,M/M,,
157,Rowen,Hart's Farm,Elizabeth Barrette,"Historical, Fantasy",Word of God,Enby,Main,Asexual,Biromantic,,,,
158,Hope,The Odd Trio,Elizabeth Barrette,Fantasy,On Page,M,Main,Asexual,,Polyam triad QPP,,,
159,Sintonizao,Polychrome Heroics,Elizabeth Barrette,Science Fiction,Word of God,F,Main,Asexual,Panromantic,,,,
160,William Jamesley,Polychrome Heroics,Elizabeth Barrette,Science Fiction,Word of God,M,Main,Demisexual,,,,,
161,Coleman Lauermann,Polychrome Heroics,Elizabeth Barrette,Science Fiction,Word Used,M,Side,Demisexual,,,,,
162,Shahana,Path of the Paladins,Elizabeth Barrette,Fantasy,On Page,F,Main,Asexual,,Mentorship,,,
163,Barnabas Christofferson,Polychrome Heroics,Elizabeth Barrette,Science Fiction,Word Used,M,Side,Asexual,,,,,
164,Vagary,Polychrome Heroics,Elizabeth Barrette,Science Fiction,On Page,M,Main,,Arospec,Enemies to friends,,Vagary is still questioning his orientations.,
165,Calliope/Calvin,Polychrome Heroics,Elizabeth Barrette,Science Fiction,On Page,F,Main,Demisexual,Demiromantic,Enemies to friends,,Calliope is transgender and accidentally forced into a close mental bond with a supervillain. They're in therapy.,
166,Clement,Polychrome Heroics,Elizabeth Barrette,Science Fiction,On Page,M,Main,Asexual,Homoromantic,,,,
167,Maze,Polychrome Heroics,Elizabeth Barrette,Science Fiction,On Page,F,Main,Demisexual,Heteroromantic,,,,
168,Yossele,Clay of Life,Elizabeth Barrette,Fantasy,,M,Main,Asexual,,,QPP,"As a golem, Yossele falls under the ""aros and aces are inhuman"" trope.",
169,Ragi,Hart's Farm,Elizabeth Barrette,"Historical, Fantasy",On Page,M,Main,Demisexual,Aromantic,,,,
170,Solvig,Hart's Farm,Elizabeth Barrette,"Historical, Fantasy",Word of God,F,Main,Asexual,Aromantic,,,,
171,Dénes,Frankenstein's Family,Elizabeth Barrette,Fantasy,On Page,M,Side,Demisexual,,,M/F/F,The narrative leads are two allosexual men who are in a QPP and raising a son together.,
172,Ari,Path of the Paladins,Elizabeth Barrette,Fantasy,On Page,F,Main,Asexual,,Mentorship,,,
