id,character_id,story_title,series_or_anthology,genre,story_length,type_of_rep,character_importance,rep_noteswarnings,other_noteswarnings,cover
102,76,City of Strife,Isandor,High Fantasy,Novel (long),On page,Main,"Everybody's best buddy. Also, loves romantic gossip, as long as it's not him.","Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, police brutality, racism, family death, death by fire (mention) and hanging",
103,76,City of Betrayal,Isandor,High Fantasy,Novel (long),Word Used,Side,"Everybody's best buddy. Also, loves romantic gossip, as long as it's not him.","Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, racism, family death, memory loss, mind control.",
104,77,City of Strife,Isandor,High Fantasy,Novel (long),Word of God,Side,,"Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment (of which this character is responsible), police brutality, racism, family death, death by fire (mention) and hanging",
105,77,City of Betrayal,Isandor,High Fantasy,Novel (long),On Page,Side,"On page, but very briefly acknowledged. Could be missed.","Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, racism, family death, memory loss, mind control.",
106,78,City of Strife,Isandor,High Fantasy,Novel (long),Word of God,Side,,"Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, police brutality, racism, family death, death by fire (mention), memory loss, and hanging",
107,78,City of Betrayal,Isandor,High Fantasy,Novel (long),Word of God,Side,,"Major TW for Abuse--physical, emotional, mental. Please be careful <3 Torture, homelessness, child abandonment, racism, family death, memory loss, mind control.",
108,79,Seida the Fairy-Troll,Warrior Anthology,Fantasy,Anthology,Word Used,Side,,"TW : blood, injury",
109,80,Lemon & Salt,,SF,Short story,On page,Lead,QPP is central to the plot,Available for free on Spectrum Lit's Patreon,
110,81,Lemon & Salt,,SF,Short story,On page,Main,QPR is central to the plot,Available for free on Spectrum Lit's Patreon,
111,82,Nkásht íí,,Horror,Short story,On page,Lead,,"Available for free on Stranger Horizons website Infant death, drowning, car accident",
112,83,Nothing Good to Say,Warrior Anthology,Fantasy,Anthology,Word Used,Lead,,"Cursed protagonist, TW: blood, violence, vomit",
113,84,Dreamer in the Dark,Liberating Earth,Fantasy,Anthology,Word of God,Lead,QPP partner dies,"Blood, snake Blind MC",
114,85,Loyal Valley: Assassination,Loyal Valley,Steampunk,Novella,On page,Main,Described as socially oblivious + married to work,"Western steampunk! Child death (off page), PTSD and flashbacks. Abduction (off page), threatened rape (off page), and 1870s attitudes. Medical horror, ableism.",
115,85,Loyal Valley: Captives,Loyal Valley,Steampunk,Novel (short),On page,Main,Disabled character,"Western steampunk! Warning for abduction, teens being foolish, medical horror, and period-correct (1870s) attitudes",
116,85,Loyal Valley: Bystanders,Loyal Valley,Steampunk,Novel (short),Word of God,Main,Disabled character,"Western steampunk! Off page child death, multiple characters with PTSD and flashbacks. Warning for past abduction, mention of past threatened rape, and period-correct (1870s) attitudes",
117,86,Loyal Valley: Assassination,Loyal Valley,Steampunk,Novella,Word of God,Main,Character of colour,"Western steampunk! Child death (off page), PTSD and flashbacks. Abduction (off page), threatened rape (off page), and 1870s attitudes. Medical horror, ableism. Racism.",
118,86,Loyal Valley: Captives,Loyal Valley,Steampunk,Novel (short),On page,Main,Character of colour,"Western steampunk! Warning for abduction, teens being foolish, medical horror, and period-correct (1870s) attitudes",
119,86,Loyal Valley: Bystanders,Loyal Valley,Steampunk,Novel (short),Word of God,Main,Character of colour,"Western steampunk! Off page child death, multiple characters with PTSD and flashbacks. Warning for past abduction, mention of past threatened rape, and period-correct (1870s) attitudes",
120,87,Look Behind You,The Order of the Silver Star,Fantasy,Novella,On page,Main,Orientation discussed in epilogue,"WWII setting; warning for Holocaust mentions, anti-German slurs, discussion of mind control and drugging, racism in '20s USA, mention of attempted rape and gruesome RL incidents.",
121,88,Sheepfarmer's Daughter,The Deed of Paksenarrion,Epic/High Fantasy,Novel (long),On page,Lead,"Novel predates emergene of asexual and aromantic as terms. Marked it as on page because the character clearly expresses no interest in either sex or romance, but I'm not sure *where* in the trilogy","violence, sexual violence",
122,88,Oath of Gold,The Deed of Paksenarrion,Epic/High Fantasy,Novel (long),On page,Lead,"Novel predates emergene of asexual and aromantic as terms. Marked it as on page because the character clearly expresses no interest in either sex or romance, but I'm not sure *where* in the trilogy","violence, rape",
123,88,Divided Allegiance,The Deed of Paksenarrion,Epic/High Fantasy,Novel (long),On page,Lead,"Novel predates emergene of asexual and aromantic as terms. Marked it as on page because the character clearly expresses no interest in either sex or romance, but I'm not sure *where* in the trilogy","violence, sexual violence",
124,89,An Accident of Stars,The Manifold Worlds,Portal Fantasy,Novel (long),Word used,Main,"Has husband, wife, and son, several friendships of importance, an alliance of sorts with a group of mostly women + mentors a younger woman","Almost everyone including the aro character is polyam. Several other LGBQIAP+ identities are represented. CW for violence, disfigurement (eye and other parts), character death",
125,89,A Tyranny of Queens,The Manifold Worlds,Portal Fantasy,Novel (long),On Page,Main,,"CW: discussion of sexual assault, bullying, abuse",
126,90,Stolen Ink,Ink Born,Urban Fantasy,Novel (short),On page,Main,,"Repetitively uses ""spirit animal"", concept is even a plot point, no Native rep.",
127,90,Blood & Ink,Ink Born,Urban Fantasy,Novel (short),On page,Main,,"Based on Stolen Ink warning, expect use of ""spirit animal"" and related racism.",
128,91,The Sky-Slayer,Sword Breaker,Epic Fantasy,Novel (long),On page,Main,,Character's headscarf is cultural demonstration of lack of interest in relationships,
129,92,Sere from the Green,The Shape Shifter Chronicles,Urban Fantasy,Novel (long),Word of God,Lead,,Sometimes aroflux,
130,93,From the Ashes,Shapeshifter Chronicles,Urban Fantasy,Novel (long),Word of God,Lead,Violent warrior character at first,Chosen families!,
131,94,Haunted by the Keres,Shapeshifter Chronicles,Urban Fantasy,Novel (long),Word of God,Side,,,
132,95,Backgame,Myriad Lands,Fantasy,Anthology,Word of God,Main,,,
133,96,Wander,Wander,SF,Novel (long),Word of God,Lead,,"Violence, character death, mentions of sexual violence",
134,97,A Promise Broken,Promises to Keep,Fantasy,Novel (short),On page,Main,,"Fantasy of manners Second-to-last draft serialized online, on-screen (fantasy) racism, depression and suicide ideation, deliberate misgendering, dysphoria",
135,98,Seafoam and Silence,Fairytale Verses,Fantasy (Retelling),Novella,On page,Lead,Main character is not human at first (see notes),Polyamory. Starts as F/M. Verse novella and Little Mermaid retelling.,
136,98,A Harmony of Water and Weald,Fairytale Verses,Fantasy (Retelling),Novella,On page,Lead,,Polyamory.,
137,99,Seafoam and Silence,,Fantasy (Retelling),Novella,On page,Main,Highly sex-repulsed,Polyamory. Starts as F/M. Verse novella and Little Mermaid retelling.,
138,99,A Harmony of Water and Weald,Fairytale Verses,Fantasy (Retelling),Novella,On page,Main,Highly sex-repulsed,Polyamory,
139,100,Different Worlds,Iamos Trilogy,"Science Fiction, Young Adult",Novella,Word Used,Side,,,
140,100,Fourth World,Iamos Trilogy,"Science Fiction, Young Adult",Novel (long),Word of God,Side,,Aromisic microaggressions,
141,100,New World,Iamos Trilogy,"Science Fiction, Young Adult",Novel (long),Word Used,Side,,Aromisic microaggressions,
142,101,Gale,,SF (Retelling),Novella,Word of God,Lead,,"Ableism word usage, eugenism",
143,102,No More Heroes,No More Heroes,Superheroes,Novel (short),Word of God,Main,"Genderfluid, character of colour","Content warning for mild violence (fight scenes). NB: As an ace/aro writer I tend to write all my characters as ace/aro by unconscious default unless otherwise established, but this can be open to reader interpretation.",
144,103,The Changing of Allison Dutch,Allison Dutch,Cuil,Novel (short),On page,Main,Mark is an intersex male who may or may not experience romantic attraction (though he most certainly has a romantic pull) with sexual attraction to Queen Aeryn. He's stated explicitly that he doesn't really care about sex but enjoys the sensuality that usually leads up to it.,"cw brutality, sexual assault, racism, abuse Series is about family, genetic sexual attraction, the toxicity of abusive romantic culture, and what it's like to be a Black woman in a fucked up world. It features vampires and other supernatural creatures (including aliens), bdsm/kink, and an apocalypse.",
145,104,The Black Tree,The Black Tree,Cuil,Novel (short),Word of God,Main,"Polyam varies in gender and combinations. Usually focuses intensely on one person at a time, in varying ways wrt commitment/sexuality. Has had marriage with men and other QPRs","Series about trauma response and endurance. cw for violence, explicit language, ableism, romance supremacy, gruesome death, some torture, and assault Polyamory, queer cast of colour, explores gender, race, disability relationships.",
146,105,The Changing of Allison Dutch,Allison Dutch,Cuil,Novel (short),On page,Main,Occasionally in polyam relationships,"BDSM cw brutality, sexual assault, racism, abuse Series is about family, genetic sexual attraction, the toxicity of abusive romantic culture, and what it's like to be a Black woman in a fucked up world. It features vampires and other supernatural creatures (including aliens), bdsm/kink, and an apocalypse.",
147,106,Match Sticks,Unburied Fables,SF/Fantasy,Anthology,On page,Main,,,
148,107,The Faerie Godmother's Apprentice Wore Green,,Fantasy,Novella,On page,Main,,,
149,108,Tanith's Sky,,Fantasy,Short story,On page,Main,Story begins with Tanith's death,"CW for grief, depression",
150,109,"Kin, Painted",,Fantasy,Short story,Word of God,Lead,,"Family-centric, character's gender is not stated",
151,110,Midnight Ice Cream,Rainbow Lights,Urban Fantasy,Anthology,On page,Lead,,,
152,111,Cold Ennaline,,Horror,Novella,On Page,Lead,,,
153,112,The Big Book of Post-Collapse Fun,Planetary Tarentella,Post-Apocalyptic,Novel (long),Word of God,Lead,,Does reference to past relationships,
154,112,A Word and A Bullet,The Planetary Tarantella Trilogy,Post-Apocalyptic,Novel (long),Word of God,Side,,Obliquely references past sexual relationships,
155,113,A Word and a Bullet,The Planetary Tarantella Trilogy,Post-Apocalyptic,Novel (short),Word used,Main,,,
156,114,The Last Chronomancer,Chronomancer Chronicles,Fantasy,Novel (short),On page,Lead,"Sex-repulsed, somewhat romance-repulsed",,
157,114,The Midnight Strider,Chronomancer Chronicles,Fantasy,Novel (short),Word used,Lead,"Sex-repulsed, somewhat romance-repulsed",,
158,115,Unloved and Untamed,The Representative,Cuil,Novella,On page,Lead,Romantic orientation: possibly wtfromantic or demiromantic. Elessana is mourning the death of her asexual lover throughout this series.,"Erotica. Contains rape, explicit sex and language, kink, and some violence.",
159,116,Unloved and Untamed,The Representative,Cuil,Novella,Word Used,Main,,"Warnings for explicit rape, graphic language, mourning a dead lover (who is asexual), some drug use, kink, premonition, graphic sex, and supernatural creatures. contains several polyamorous relationships",
160,116,Desired and Proper,The Representative,Cuil,Novella,On page,Lead,,,
161,117,Chameleon Moon,Chameleon Moon,SF/Fantasy (Superheroes),Novel (long),Word of God,Side,Wren and Lisette are teenage aro/ace QPPs whose superpowers work best if they're close/touching.,"Wren is nonverbal and uses ASL. tw memory loss, torture, burns and fires in various ways, dismemberment, gunshots, transmisia (called out), possession",
162,118,Chameleon Moon,Chameleon Moon,"SF/Fantasy, Superheroes",Novel (long),Word of God,Side,Wren and Lisette are teenage aro/ace QPPs whose superpowers work best if they're close/touching.,"tw memory loss, torture, burns and fires in various ways, dismemberment, gunshots, transmisia (called out), possession",
163,119,Life Within Parole,Chameleon Moon,SF/Fantasy,Anthology,On page,Side,,,
